Agency_Aliases,Agency_Name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image
ABMC,American Battle Monuments Commission,https://www.abmc.gov/,"Courthouse Plaza II, Suite 500 
2300 Clarendon Boulevard 
Arlington, VA 22201",info@abmc.gov,"
1-703-696-6900",  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
AMTRAK,National Railroad Passenger Corporation,https://www.amtrak.com/home.html,"60 Massachusetts Ave., NE 
Washington, DC 20002",  ,1-202-906-3000,"
1-800-523-6590",1-800-872-7245,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
ARC,Appalachian Regional Commission,https://www.arc.gov/index.asp,"1666 Connecticut Ave., NW 
Suite 700 
Washington, DC 20009-1068",info@arc.gov,1-202-884-7700,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
USARC,Arctic Research Commission,https://www.arctic.gov/,"4350 N. Fairfax Dr. 
Suite 510 
Arlington, VA 22203",info@arctic.gov,1-703-525-0111,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
AFRH,Armed Forces Retirement Home,https://www.afrh.gov/,  ,Admissions@afrh.gov,1-202-541-7501;1-228-897-4418,  ,1-800-422-9988;1-800-422-9988,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Bankruptcy Courts,Bankruptcy Courts,https://www.uscourts.gov/services-forms/bankruptcy,  ,  ,  ,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Barry M. Goldwater Scholarship and Excellence in Education Program,Barry M. Goldwater Scholarship and Excellence in Education Program,https://goldwater.scholarsapply.org/,  ,  ,"
1-319-341-2333",  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,https://www.consumerfinance.gov/,"PO Box 2900 
Clinton, IA 52733-2900",  ,  ,1-855-729-2372,1-855-411-2372,Independent Agency,United States Government,Office of Servicemember Affairs,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CIA,Central Intelligence Agency,https://www.cia.gov/index.html,"Central Intelligence Agency 
Office of Public Affairs 
Washington, DC 20505",  ,703-482-0623,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Seal_of_the_Central_Intelligence_Agency.svg/500px-Seal_of_the_Central_Intelligence_Agency.svg.png
CSB,Chemical Safety Board,https://www.csb.gov/,"1750 Pennsylvania Ave., NW 
Suite 910 
Washington, DC 20006",public@csb.gov,1-202-261-7600,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Chief Acquisition Officers Council,Chief Acquisition Officers Council,https://www.acquisition.gov/cao-home,  ,acquisition_gov.systemadmin@gsa.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CFO,Chief Financial Officers Council,https://www.cfo.gov/,  ,  ,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CHCOC,Chief Human Capital Officers Council,https://www.chcoc.gov/,"1900 E St., NW 
Suite 5H27 
Washington, DC 20415",chcoc@opm.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CIO,Chief Information Officers Council,https://www.cio.gov/,  ,feedback@cio.gov,  ,  ,  ,None,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
USCourts of Appeal,Courts of Appeal,https://www.uscourts.gov/about-federal-courts,  ,  ,  ,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CSAC,Citizens'' Stamp Advisory Committee,https://about.usps.com/who/csac/,"475 L’Enfant Plaza, SW 
Room 3300 
Washington, DC 20260-3501",  ,  ,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CFA,Commission of Fine Arts,https://www.cfa.gov/,"401 F St., NW 
Suite 312 
Washington, DC 20001-2728",cfastaff@cfa.gov,1-202-504-2200,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
USCCR,Commission on Civil Rights,https://www.usccr.gov/,"Public Affairs Unit 
624 9th St., NW 
Washington, DC 20425",referrals@usccr.gov,1-202-376-7700;1-202-376-8513,1-202-376-8116,1-800-552-6843,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
USCIRF,Commission on International Religious Freedom,https://www.uscirf.gov/,"800 North Capitol St., NW 
Suite 790 
Washington, DC 20002",communications@uscirf.gov,"
1-202-523-3240",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CSCE,Commission on Security and Cooperation in Europe (Helsinki Commission),https://www.csce.gov/,"234 Ford House Office Building 
3rd and D Sts., SW 
Washington, DC 20515",INFO@CSCE.gov,"
1-202-225-1901",  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CITA,Committee for the Implementation of Textile Agreements,http://otexa.trade.gov/cita_otexa.htm,"
International Trade Administration 
Office of Textiles and Apparel 
1401 Constitution Ave., NW 
Washington, DC 20230",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CFTC,Commodity Futures Trading Commission,https://www.cftc.gov/,"Office of External Affairs 
Three Lafayette Center 
1155 21st St., NW 
Washington, DC 20581",questions@cftc.gov,1-202-418-5000,"
1-202-418-5514",  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
House of Representatives;House,United States House of Representatives,https://www.house.gov/,"U.S. House of Representatives 
Washington, DC 20515",  ,1-202-224-3121,1-202-225-1904,  ,Legislative,United States Government,Architect of the Capitol;Congressional Budget Office;Government Accountability Office;Government Publishing Office;House Office of Inspector General;House Office of the Clerk;Office of Compliance;Open World Leadership Center;Stennis Center for Public Service;Library of Congress;United States Capitol Police,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_House_of_Representatives.svg/1024px-Seal_of_the_United_States_House_of_Representatives.svg.png
Senate,United States Senate,https://www.senate.gov/,"United States Senate 
Washington, DC 20510",  ,1-202-224-3121,1-202-225-1904,  ,Legislative,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Seal_of_the_United_States_Senate.svg/1000px-Seal_of_the_United_States_Senate.svg.png
CPSC,Consumer Product Safety Commission,https://www.cpsc.gov/,"4330 East West Hwy. 
Bethesda, MD 20814",  ,"
1-301-504-7923",  ,1-800-638-2772,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Coordinating Council on Juvenile Justice and Delinquency Prevention,Coordinating Council on Juvenile Justice and Delinquency Prevention,https://www.juvenilecouncil.gov/,"810 7th St., NW 
Washington, DC 20531",  ,1-202-616-7567,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CNCS,Corporation for National and Community Service,https://www.nationalservice.gov/,"250 E Street, SW 
Washington, DC 20525",info@cns.gov,  ,  ,1-800-942-2677,Independent Agency,United States Government,AmeriCorps ;Senior Corps,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
IGNET,Council of the Inspectors General on Integrity and Efficiency,https://www.ignet.gov/,  ,cigie.information@cigie.gov,1-202-292-2600,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,https://www.armfor.uscourts.gov/newcaaf/home.htm,"450 E St., NW 
Washington, DC 20441-0001",  ,1-202-761-1448,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CAVC,Court of Appeals for Veterans Claims,http://www.uscourts.cavc.gov/,"625 Indiana Ave., NW 
Suite 900 
Washington, DC 20004-2950",efiling@uscourts.cavc.gov,1-202-501-5970;1-202-418-3453,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
USCFC,Court of Federal Claims,http://www.uscfc.uscourts.gov/,"717 Madison Place, NW 
Washington, DC 20005-1806",  ,1-202-357-6400,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CIT,Court of International Trade,https://www.cit.uscourts.gov/,"1 Federal Plaza 
New York, NY 10278-0001",  ,1-212-264-2800,  ,  ,Judicial,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
CSOSA,Court Services and Offender Supervision Agency for the District of Columbia,https://www.csosa.gov/,"633 Indiana Ave., NW 
Washington, DC 20004",  ,1-202-220-5300,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DNFSB,Defense Nuclear Facilities Safety Board,https://www.dnfsb.gov/,"625 Indiana Ave., NW 
Suite 700 
Washington, DC 20004",mailbox@dnfsb.gov,1-202-694-7000,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DRBC,Delaware River Basin Commission,https://www.state.nj.us/drbc/,"25 State Police Dr. 
P.O. Box 7360 
West Trenton, NJ 08628-0360",  ,1-609-883-9500,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DRA,Delta Regional Authority,https://dra.gov/,"400 North Capitol St., NW 
Suite 365 
Washington, DC 20002",  ,1-202-434-4870,  ,  ,"Independent Board, Commission, Committee",United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
Denali Commission,Denali Commission,https://www.denali.gov/,"510 L St. 
Suite 410 
Anchorage, AK 99501",  ,1-907-271-1414,  ,1-888-480-4321,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
DNI,Office of the Director of National Intelligence,https://www.dni.gov/,"Office of the Director of National Intelligence 
Washington, DC 20511",  ,1-703-733-8600,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
EAC,Election Assistance Commission,https://www.eac.gov/,"1335 East West Highway 
Suite 4300 
Silver Spring, MD 20910",  ,"
1-301-563-3919",  ,1-866-747-1471,Executive Department Sub-Office/Agency/Bureau,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
EPA,Environmental Protection Agency,https://www.epa.gov/,"Ariel Rios Building 
1200 Pennsylvania Ave., NW 
Washington, DC 20460",  ,  ,  ,  ,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png
EEOC,Equal Employment Opportunity Commission,https://www.eeoc.gov/,"131 M Street, NE 
Washington, DC 20507",info@eeoc.gov,1-202-663-4900,1-202-663-4494,1-800-669-4000,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
EXIM,Export-Import Bank of the United States,https://www.exim.gov/,"811 Vermont Ave., NW 
Washington, DC 20571",info@exim.gov,1-202-565-3946,1-202-565-3377,1-800-565-3946,Independent Agency,United States Government,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png
